('ArchivoPruebaHIDS_73.txt', 'd9779b2fbde0a140429f81ef47b76916ce3e8ced', '8aa28a7614fb7913ab573e88dc076be3b2ea7af3', 'SHA1')
('ArchivoPruebaHIDS_74.txt', '92449b52cbefa73ad27e05ef9c48a3024f971b9b', '77f34de1d770c2b3836751500ce4fde4a6820630', 'SHA1')
('ArchivoPruebaHIDS_75.txt', '4a7f837b7f07d0788f3c687ce1dcfa8bbf55a32c072f3a97db12ff4d41e2ce66', '6bf194d7c27e006bc5e55e36d9451c04364a98dab56da70da644d2e4b36dd890', 'SHA256')
('ArchivoPruebaHIDS_76.txt', '1d08e07496b60c73715d590f7ac91e87f2222fb46e0ca7259082af227e787038', '9180794b992a82ed21e7db8f33260195a01d44439c860a32bf45590c7c97dcc2', 'SHA256')
('ArchivoPruebaHIDS_77.txt', 'bd468496b8bda7d370aac23f5c8bacb267c3550a', 'a14100fd27d2d8f5b6121a1ea90dfb6058a6c6a7', 'SHA1')
('ArchivoPruebaHIDS_78.txt', '7bab7c9ee514558ef2cdbf6dfaf142967855f243', '02b7a74a0f431e6e12725c82872abdf359f33ad4', 'SHA1')
('ArchivoPruebaHIDS_79.txt', '71b19bdf1a631267305df27df75ad6fd61c3d48b', '86797cf4db5ce04c3e130ac1c4b5ed7808b3df85', 'SHA1')
('ArchivoPruebaHIDS_80.txt', '9e09eac3bc40eb7fe986ebbc1940dfef139c64d9d15a1ebbe902f9c09199c314', '929753937003e323e374e643cde0df4d6406953c0caff6e22169d64680d00843', 'SHA256')
('ArchivoPruebaHIDS_81.txt', 'a07af44d429400be906c39edf81e0ba03870b886', 'ba40a70518c9c09e065d525bb9fc14c4b8f6e68c', 'SHA1')
('ArchivoPruebaHIDS_82.txt', 'dd0513c91a28e594dbdd4261b570bfa8ecf63970d5aadda1f9be20a4d1a2da5b', '9dcb90072e56c2edd60d3c2337766dea09c1ba9c69fe876f8239d6fb6f820a8f', 'SHA256')
('ArchivoPruebaHIDS_83.txt', 'e72bed9621299cc766fc85b90195ee08e815b08835b6764e0ea100ff0bf55ded', '127699d98565e315cef80cf172449b0077dd22165021d993fe3ce18989a4939e', 'SHA256')
('ArchivoPruebaHIDS_84.txt', '746f8fde873a451e181ceaa99d1c2011a215932adb35af1ba1b2a5bed40e5033', '5aa3e5a88da6f88a7e401c865bb53e951bd3de6e1ebf3e4bdd247722b1d422cc', 'SHA256')
('ArchivoPruebaHIDS_85.txt', '7581247f62c0a8cc73e8c256555c615832f674cb', '8cb34fa17d3b35b946381a94890b0f34cb3afc18', 'SHA1')
('ArchivoPruebaHIDS_86.txt', '6f807d3ce1a01b6c745cb3120c41c1fdaca3cf9289effb67d747d94635e9903e', 'ed3b39785906873ab9f2b8c75e87b041e3b2faacb2bdbb498d8ed4acba0b0a4f', 'SHA256')
('ArchivoPruebaHIDS_87.txt', '03c0cc322f3c9df90ebcd00ccb44837e67a41ed00f0496dda17d46e2b2d2c926', '6a3dd1a3b6ad91828b6e1c15b1bbb2b6b01d02a64a1417dea5398cc7a260d3fa', 'SHA256')
('ArchivoPruebaHIDS_88.txt', '0d3572b3da7e480fe53d788c3524aab4a7d47a9b', 'c469c3b5b421ec3f1631ecc96545f34a44fadbff', 'SHA1')
('ArchivoPruebaHIDS_89.txt', '4fa79ab45dfe3ec6d11d72d9feba7c219cb9e349b1ef0c2e5217993a9c982f84', 'b9bb62487b6737ad494d35b81e2e0e868ac4e4194e8997664ec868d3fc8b1150', 'SHA256')
('ArchivoPruebaHIDS_90.txt', '3d96e23ec007589ab174f715383c9a3caf741fcb', '5163da37383baae102156773352b1f639155efe1', 'SHA1')
('ArchivoPruebaHIDS_91.txt', 'afa604fb2741df4b393934db5aa4ad137238d79b', '9020ccff2ba7f5ea5959217576f23955707493e2', 'SHA1')
('ArchivoPruebaHIDS_92.txt', '19a4e349d84deb23f0255af09789347bc1acc9ccd6a42af38d4b2b5da10e1547', '7e7ef853638e28ac3ac6c84cfa399c7dd84423f72980bca638ee54adf36c42a9', 'SHA256')
('ArchivoPruebaHIDS_93.txt', '26d7edf351551158ac8dfd055bfc319869090c127280a63fb414450591c66877', '12471b840e49ab0217f822da0173cda0c5f1cb9b4653826062eed0807c8ea785', 'SHA256')
('ArchivoPruebaHIDS_94.txt', '6240224e7621e776d8e92234c2ff60df0876073e849900e90f2963a98c8961ee', 'e2166c25262f63b893ea4ea8b56d085c0bcc5a04fcce4264ebd2fa98b9f42a20', 'SHA256')
('ArchivoPruebaHIDS_95.txt', '2871bc3c665480be17e783b81576af8704b881646898b236e78f35e09e583b5d', 'f5d13380fe5e2a398fccce7f4c398d5ae48b665659e4ad87a5347cfa925cf76f', 'SHA256')
('ArchivoPruebaHIDS_96.txt', '51cbd156b77fe6ac4e7234bb26c7309a2ee7b46c', '2ea6bfc739c63b97c91283067e817961ba946932', 'SHA1')
('ArchivoPruebaHIDS_97.txt', 'd0b7ce432ed15ce9452af84a925588222de9fba7', '9e9dced6308315bfb2e1a03cc64c4d150d89d9dc', 'SHA1')
('ArchivoPruebaHIDS_98.txt', '794be4bccef809f7a31fab47656f79192bc28f6d', 'bb0276967a5cd59b57418dbff520afeeee7b9467', 'SHA1')
('ArchivoPruebaHIDS_99.txt', 'aacbbcdedbad318afdee65467d1c7266b1d3c95f2286275bb547ec223ec36283', '8f75e93a5f677e07a2f78f745b16ffc7bcb01347059cc0c4ebf152ebd6b7df07', 'SHA256')
